year,city_name,temperature
1910,KENT,17.107957957957957
1910,MELBOURNE,14.938356164383562
1910,PERTH,17.185753424657534
1910,PORT,15.717445054945054
1910,SYDNEY,18.43228021978022
1911,KENT,16.893972602739726
1911,MELBOURNE,14.478082191780821
1911,PERTH,16.553287671232876
1911,PORT,15.769834710743801
1911,SYDNEY,18.392739726027397
1912,KENT,17.10232558139535
1912,MELBOURNE,14.541939890710383
1912,PERTH,17.421311475409837
1912,PORT,16.22125874125874
1912,SYDNEY,18.49289617486339
1913,CANBERRA,8.23927813163482
1913,KENT,16.932088520055323
1913,MELBOURNE,14.488082191780823
1913,PERTH,16.857005494505493
1913,PORT,15.669283746556474
1913,SYDNEY,18.645342465753426
1914,CANBERRA,13.347796143250688
1914,KENT,18.13434065934066
1914,MELBOURNE,15.244246575342466
1914,PERTH,17.174794520547945
1914,PORT,16.54904109589041
1914,SYDNEY,19.33
1915,CANBERRA,12.295290858725762
1915,KENT,17.013717421124827
1915,MELBOURNE,14.6113698630137
1915,PERTH,18.028767123287672
1915,PORT,15.870816044260028
1915,SYDNEY,18.75780821917808
1916,CANBERRA,11.488614540466392
1916,KENT,16.531600547195623
1916,MELBOURNE,14.346584699453551
1916,PERTH,16.856693989071037
1916,PORT,15.273684210526316
1916,SYDNEY,18.429234972677595
1917,CANBERRA,11.1099173553719
1917,KENT,16.26150684931507
1917,MELBOURNE,14.376164383561644
1917,PERTH,16.356164383561644
1917,PORT,14.928314917127071
1917,SYDNEY,17.622876712328768
1918,CANBERRA,11.391586206896552
1918,KENT,17.19435261707989
1918,MELBOURNE,14.706712328767123
1918,PERTH,17.872465753424656
1918,PORT,15.906925207756233
1918,SYDNEY,17.846027397260276
1919,CANBERRA,13.024756606397775
1919,KENT,17.535479452054794
1919,MELBOURNE,14.974246575342466
1919,PERTH,16.746712328767124
1919,PORT,17.562891986062716
1919,SYDNEY,18.71041095890411
1920,CANBERRA,11.671167369901546
1920,KENT,16.792032967032966
1920,MELBOURNE,14.54398907103825
1920,PERTH,17.709699453551913
1920,PORT,15.153782668500687
1920,SYDNEY,17.79002732240437
1921,CANBERRA,11.17510460251046
1921,KENT,17.817808219178083
1921,MELBOURNE,15.113561643835617
1921,PERTH,18.288493150684932
1921,PORT,16.5260989010989
1921,SYDNEY,18.475068493150683
1922,KENT,16.654545454545456
1922,MELBOURNE,14.59095890410959
1922,PERTH,16.63876712328767
1922,PORT,15.638397790055249
1922,SYDNEY,18.486849315068493
1923,CANBERRA,8.808695652173913
1923,KENT,17.054794520547944
1923,MELBOURNE,14.517123287671232
1923,PERTH,17.273972602739725
1923,PORT,15.81986301369863
1923,SYDNEY,18.44821917808219
1924,CANBERRA,10.737110016420361
1924,KENT,16.008481532147744
1924,MELBOURNE,13.924897400820793
1924,PERTH,17.100273224043715
1924,PORT,14.618384401114206
1924,SYDNEY,17.926366120218578
1925,CANBERRA,11.95197934595525
1925,KENT,16.678356164383562
1925,MELBOURNE,14.336164383561643
1925,PERTH,17.024383561643834
1925,PORT,15.402739726027397
1925,SYDNEY,17.747808219178083
1926,CANBERRA,12.028492392807745
1926,KENT,16.725479452054795
1926,MELBOURNE,14.906301369863014
1926,PERTH,17.22917808219178
1926,PORT,15.612760055478502
1926,SYDNEY,18.475342465753425
1927,CANBERRA,11.821016483516484
1927,KENT,16.650824175824177
1927,MELBOURNE,14.524279835390946
1927,PERTH,17.362465753424658
1927,PORT,14.953013698630137
1927,SYDNEY,17.46821917808219
1928,CANBERRA,12.429355281207133
1928,KENT,16.915300546448087
1928,MELBOURNE,14.903142076502732
1928,PERTH,17.22418032786885
1928,PORT,15.511157024793388
1928,SYDNEY,18.627732240437158
1929,CANBERRA,11.76353591160221
1929,KENT,16.064794520547945
1929,MELBOURNE,14.436986301369863
1929,PERTH,16.758219178082193
1929,PORT,14.698356164383561
1929,SYDNEY,17.85150684931507
1930,CANBERRA,12.600137741046831
1930,KENT,17.652602739726028
1930,MELBOURNE,15.134109589041095
1930,PERTH,17.928356164383562
1930,PORT,16.08439226519337
1930,SYDNEY,18.054383561643835
1931,CANBERRA,12.130716253443525
1931,KENT,16.19835616438356
1931,MELBOURNE,14.133150684931508
1931,PERTH,17.244794520547945
1931,PORT,15.11098901098901
1931,SYDNEY,18.009452054794522
1932,CANBERRA,12.151519337016575
1932,KENT,16.464754098360654
1932,MELBOURNE,14.365027322404371
1932,PERTH,17.58360655737705
1932,PORT,15.154520547945205
1932,SYDNEY,17.91188524590164
1933,CANBERRA,12.077279102384292
1933,KENT,16.20178817056396
1933,MELBOURNE,14.548219178082192
1933,PERTH,17.98123287671233
1933,PORT,15.129395604395604
1933,SYDNEY,17.598904109589043
1934,CANBERRA,12.023529411764706
1934,KENT,17.495473251028805
1934,MELBOURNE,14.874109589041096
1934,PERTH,17.696027397260274
1934,PORT,16.11955922865014
1934,SYDNEY,17.80821917808219
1935,CANBERRA,11.530845070422535
1935,KENT,16.656164383561645
1935,MELBOURNE,14.466986301369863
1935,PERTH,16.987534246575343
1935,PORT,15.455769230769231
1935,SYDNEY,17.7986301369863
1936,CANBERRA,12.16570644718793
1936,KENT,16.63292349726776
1936,MELBOURNE,14.77896174863388
1936,PERTH,17.933333333333334
1936,PORT,15.446174863387979
1936,SYDNEY,18.01379781420765
1937,CANBERRA,12.475616438356164
1937,KENT,16.935890410958905
1937,MELBOURNE,14.87027397260274
1937,PERTH,17.923150684931507
1937,PORT,15.652054794520549
1937,SYDNEY,18.22
1938,CANBERRA,12.792797783933517
1938,KENT,17.010973936899862
